,0,Farmacia,Normal,Oferta,Producto,SKU
224,Kitadol 500 mg x 24 Comprimidos,,,,,
225,15414,,,,,
226,1495.00,,,,,
227,1495.00,,,,,
228,2022-04-04,,,,,
229,Ahumada,,,,,
230,Kitadol 500 mg x 24 Comprimidos,,,,,
231,15414,,,,,
232,1495.00,,,,,
233,1495.00,,,,,
234,2022-04-04,,,,,
235,Ahumada,,,,,
236,La Roche Posay Serum Hyalu B5 x 30 mL,,,,,
237,84997,,,,,
238,37499.00,,,,,
239,37499.00,,,,,
240,2022-04-04,,,,,
241,Ahumada,,,,,
242,La Roche Posay Serum Hyalu B5 x 30 mL,,,,,
243,84997,,,,,
244,37499.00,,,,,
245,37499.00,,,,,
246,2022-04-04,,,,,
247,Ahumada,,,,,
248,La Roche Posay Serum Hyalu B5 x 30 mL,,,,,
249,84997,,,,,
250,37499.00,,,,,
251,37499.00,,,,,
252,2022-04-04,,,,,
253,Ahumada,,,,,
254,Similac Formula Total Comfort x 820 g,,,,,
255,71228,,,,,
256,22099.00,,,,,
257,22099.00,,,,,
258,2022-04-04,,,,,
259,Ahumada,,,,,
260,Nestle Picados Frasco Charquican x 250 g,,,,,
261,48247001,,,,,
262,2349.00,,,,,
263,2349.00,,,,,
264,2022-04-04,,,,,
265,Ahumada,,,,,
266,Nestle Picados Frasco Charquican x 250 g,,,,,
267,48247001,,,,,
268,2349.00,,,,,
269,2349.00,,,,,
270,2022-04-04,,,,,
271,Ahumada,,,,,
272,enjuague bucal listerine\u00ae cool mint zero alcohol x 1 lt,,,,,
273,76374,,,,,
274,7799.00,,,,,
275,7799.00,,,,,
276,2022-04-04,,,,,
277,Ahumada,,,,,
278,Colgate Pasta Dental Luminous White x 90 g,,,,,
279,72138,,,,,
280,3699.00,,,,,
281,3699.00,,,,,
282,2022-04-04,,,,,
283,Ahumada,,,,,
284,Aquafresh Pasta Dental Big Teeth Kids x 110 g,,,,,
285,79187,,,,,
286,2799.00,,,,,
287,2799.00,,,,,
288,2022-04-04,,,,,
289,Ahumada,,,,,
290,Bioflora 250 mg x 10 C\u00e1psulas,,,,,
291,82886,,,,,
292,10095.00,,,,,
293,10095.00,,,,,
294,2022-04-04,,,,,
295,Ahumada,,,,,
296,Acotol x 28 Comprimidos Recubiertos,,,,,
297,72253,,,,,
298,16195.00,,,,,
299,16195.00,,,,,
300,2022-04-04,,,,,
301,Ahumada,,,,,
302,Pack Cepillo Dental Complete Protege,,,,,
303,83799,,,,,
304,6299.00,,,,,
305,6299.00,,,,,
306,2022-04-04,,,,,
307,Ahumada,,,,,
308,Pack Cepillo Dental Complete Protege,,,,,
309,83799,,,,,
310,6299.00,,,,,
311,6299.00,,,,,
312,2022-04-04,,,,,
313,Ahumada,,,,,
314,Bi-O Pack Antitranspirante Spray Clarify x 1 Pack,,,,,
315,87344,,,,,
316,4299.00,,,,,
317,4299.00,,,,,
318,2022-04-04,,,,,
319,Ahumada,,,,,
320,Bi-O Pack Antitranspirante Spray Clarify x 1 Pack,,,,,
321,87344,,,,,
322,4299.00,,,,,
323,4299.00,,,,,
324,2022-04-04,,,,,
325,Ahumada,,,,,
326,Mecolzine 500 mg x 100 Comprimidos Con Recubrimiento Ent\u00e9rico,,,,,
327,72527,,,,,
328,76695.00,,,,,
329,76695.00,,,,,
330,2022-04-04,,,,,
331,Ahumada,,,,,
332,Antiax x 6 Comprimidos Masticables,,,,,
333,76231,,,,,
334,2695.00,,,,,
335,2695.00,,,,,
336,2022-04-04,,,,,
337,Ahumada,,,,,
338,Antiax x 6 Comprimidos Masticables,,,,,
339,76231,,,,,
340,2695.00,,,,,
341,2695.00,,,,,
342,2022-04-04,,,,,
343,Ahumada,,,,,
344,Cerave Loci\u00f3n Hidratante Piel Seca A Muy Seca x 473 mL,,,,,
345,85379,,,,,
346,13699.00,,,,,
347,13699.00,,,,,
348,2022-04-04,,,,,
349,Ahumada,,,,,
350,Cerave Loci\u00f3n Hidratante Piel Seca A Muy Seca x 473 mL,,,,,
351,85379,,,,,
352,13699.00,,,,,
353,13699.00,,,,,
354,2022-04-04,,,,,
355,Ahumada,,,,,
356,Cicatricure Gel Para Cicatrices x 60 g,,,,,
357,70064,,,,,
358,13199.00,,,,,
359,13199.00,,,,,
360,2022-04-04,,,,,
361,Ahumada,,,,,
362,Exforge 5 mg\/160 mg x 56 Comprimidos Recubiertos,,,,,
363,50686,,,,,
364,82995.00,,,,,
365,82995.00,,,,,
366,2022-04-04,,,,,
367,Ahumada,,,,,
368,Exforge 5 mg\/160 mg x 56 Comprimidos Recubiertos,,,,,
369,50686,,,,,
370,82995.00,,,,,
371,82995.00,,,,,
372,2022-04-04,,,,,
373,Ahumada,,,,,
374,Exforge 5 mg\/160 mg x 56 Comprimidos Recubiertos,,,,,
375,50686,,,,,
376,82995.00,,,,,
377,82995.00,,,,,
378,2022-04-04,,,,,
379,Ahumada,,,,,
380,Cerave Loci\u00f3n Limpiadora Hidratante Piel Normal A Seca x 473 mL,,,,,
381,85390,,,,,
382,12699.00,,,,,
383,12699.00,,,,,
384,2022-04-04,,,,,
385,Ahumada,,,,,
386,Cerave Loci\u00f3n Limpiadora Hidratante Piel Normal A Seca x 473 mL,,,,,
387,85390,,,,,
388,12699.00,,,,,
389,12699.00,,,,,
390,2022-04-04,,,,,
391,Ahumada,,,,,
392,Gillette Maquina De Afeitar Prestobarba 3 x 6 Unidades,,,,,
393,84733,,,,,
394,6999.00,,,,,
395,6999.00,,,,,
396,2022-04-04,,,,,
397,Ahumada,,,,,
398,Colgate Pasta Dental Luminous White x 90 g,,,,,
399,72138,,,,,
400,3699.00,,,,,
401,3699.00,,,,,
402,2022-04-04,,,,,
403,Ahumada,,,,,
404,La Roche Posay Gel Effaclar x 400 mL,,,,,
405,77546,,,,,
406,18999.00,,,,,
407,18999.00,,,,,
408,2022-04-04,,,,,
409,Ahumada,,,,,
410,La Roche Posay Gel Effaclar x 400 mL,,,,,
411,77546,,,,,
412,18999.00,,,,,
413,18999.00,,,,,
414,2022-04-04,,,,,
415,Ahumada,,,,,
416,Symbicort Turbuhaler 320 mcg\/9 mcg x 60 Dosis Polvo Para Inhalacion,,,,,
417,46777,,,,,
418,83595.00,,,,,
419,83595.00,,,,,
420,2022-04-04,,,,,
421,Ahumada,,,,,
422,Symbicort Turbuhaler 320 mcg\/9 mcg x 60 Dosis Polvo Para Inhalacion,,,,,
423,46777,,,,,
424,83595.00,,,,,
425,83595.00,,,,,
426,2022-04-04,,,,,
427,Ahumada,,,,,
428,Brintellix 20 mg x 28 Comprimidos Recubiertos,,,,,
429,83304,,,,,
430,73395.00,,,,,
431,73395.00,,,,,
432,2022-04-04,,,,,
433,Ahumada,,,,,
434,Bi-O Pack Antitranspirante Spray Clarify x 1 Pack,,,,,
435,87344,,,,,
436,4299.00,,,,,
437,4299.00,,,,,
438,2022-04-04,,,,,
439,Ahumada,,,,,
440,Maybelline Labial Super Stay Matte Ink Amazonian x 5 g,,,,,
441,85968001,,,,,
442,6099.00,,,,,
443,6099.00,,,,,
444,2022-04-04,,,,,
445,Ahumada,,,,,
446,Maybelline Labial Super Stay Matte Ink Amazonian x 5 g,,,,,
447,85968001,,,,,
448,6099.00,,,,,
449,6099.00,,,,,
450,2022-04-04,,,,,
451,Ahumada,,,,,
452,Test Covid Antigeno Nasal Kit X 5 Test,,,,,
453,90041,,,,,
454,49995.00,,,,,
455,49995.00,,,,,
456,2022-04-04,,,,,
457,Ahumada,,,,,
458,Test Covid Antigeno Nasal Kit X 5 Test,,,,,
459,90041,,,,,
460,49995.00,,,,,
461,49995.00,,,,,
462,2022-04-04,,,,,
463,Ahumada,,,,,
464,Nexcare Tapon De Oidos N\u00b0 1100 x 4 Unidades,,,,,
465,1530,,,,,
466,5095.00,,,,,
467,5095.00,,,,,
468,2022-04-04,,,,,
469,Ahumada,,,,,
470,Nexcare Tapon De Oidos N\u00b0 1100 x 4 Unidades,,,,,
471,1530,,,,,
472,5095.00,,,,,
473,5095.00,,,,,
474,2022-04-04,,,,,
475,Ahumada,,,,,
476,Sahnenuss Chocolate Con Almendras x 250 g,,,,,
477,2561,,,,,
478,6099.00,,,,,
479,6099.00,,,,,
480,2022-04-04,,,,,
481,Ahumada,,,,,
482,Sahnenuss Chocolate Con Almendras x 250 g,,,,,
483,2561,,,,,
484,6099.00,,,,,
485,6099.00,,,,,
486,2022-04-04,,,,,
487,Ahumada,,,,,
488,Sahnenuss Chocolate Con Almendras x 250 g,,,,,
489,2561,,,,,
490,6099.00,,,,,
491,6099.00,,,,,
492,2022-04-04,,,,,
493,Ahumada,,,,,
494,Xarelto 20 mg x 28 Comprimidos Recubiertos,,,,,
495,72279,,,,,
496,78095.00,,,,,
497,78095.00,,,,,
498,2022-04-04,,,,,
499,Ahumada,,,,,
500,Piclokare 75mg. Caja 28 Comp. Rec.,,,,,
501,69835,,,,,
502,14495.00,,,,,
503,14495.00,,,,,
504,2022-04-04,,,,,
505,Ahumada,,,,,
506,Piclokare 75mg. Caja 28 Comp. Rec.,,,,,
507,69835,,,,,
508,14495.00,,,,,
509,14495.00,,,,,
510,2022-04-04,,,,,
511,Ahumada,,,,,
512,Singulair 4 mg Granulado Oral x 30 Sobres,,,,,
513,41715,,,,,
514,81395.00,,,,,
515,81395.00,,,,,
516,2022-04-04,,,,,
517,Ahumada,,,,,
518,Singulair 4 mg Granulado Oral x 30 Sobres,,,,,
519,41715,,,,,
520,81395.00,,,,,
521,81395.00,,,,,
522,2022-04-04,,,,,
523,Ahumada,,,,,
524,Pointts x 80 mL Spray,,,,,
525,65453,,,,,
526,34495.00,,,,,
527,34495.00,,,,,
528,2022-04-04,,,,,
529,Ahumada,,,,,
530,All Out Piojos Loci\u00f3n x 150 mL Loci\u00f3n T\u00f3pica,,,,,
531,82303,,,,,
532,12395.00,,,,,
533,12395.00,,,,,
534,2022-04-04,,,,,
535,Ahumada,,,,,
536,All Out Piojos Loci\u00f3n x 150 mL Loci\u00f3n T\u00f3pica,,,,,
537,82303,,,,,
538,12395.00,,,,,
539,12395.00,,,,,
540,2022-04-04,,,,,
541,Ahumada,,,,,
542,PROTECTOR SOLAR FACIAL GEL CREMA OIL CONTROL FPS 50+ 50ML ,,,,,
543,79924,,,,,
544,18099.00,,,,,
545,18099.00,,,,,
546,2022-04-04,,,,,
547,Ahumada,,,,,
548,PROTECTOR SOLAR FACIAL GEL CREMA OIL CONTROL FPS 50+ 50ML ,,,,,
549,79924,,,,,
550,18099.00,,,,,
551,18099.00,,,,,
552,2022-04-04,,,,,
553,Ahumada,,,,,
554,Tetralysal 300 mg x 28 C\u00e1psulas,,,,,
555,75535,,,,,
556,37295.00,,,,,
557,37295.00,,,,,
558,2022-04-04,,,,,
559,Ahumada,,,,,
560,Luffeel x 20 mL Solucion Para Inhalacion Nasal,,,,,
561,49946,,,,,
562,21145.00,,,,,
563,21145.00,,,,,
564,2022-04-04,,,,,
565,Ahumada,,,,,
566,Luffeel x 20 mL Solucion Para Inhalacion Nasal,,,,,
567,49946,,,,,
568,21145.00,,,,,
569,21145.00,,,,,
570,2022-04-04,,,,,
571,Ahumada,,,,,
572,ASEPXIA Jab\u00f3n L\u00edquido de Carb\u00f3n Purificante 200 ml,,,,,
573,86796,,,,,
574,6699.00,,,,,
575,6699.00,,,,,
576,2022-04-04,,,,,
577,Ahumada,,,,,
578,ASEPXIA Jab\u00f3n L\u00edquido de Carb\u00f3n Purificante 200 ml,,,,,
579,86796,,,,,
580,6699.00,,,,,
581,6699.00,,,,,
582,2022-04-04,,,,,
583,Ahumada,,,,,
584,Dove Pack Jabon Original 90 g x 1 Pack,,,,,
585,81094,,,,,
586,7299.00,,,,,
587,7299.00,,,,,
588,2022-04-04,,,,,
589,Ahumada,,,,,
590,ASEPXIA Maquillaje Polvo Comprimido Marfil NF 10 Gr,,,,,
591,78494002,,,,,
592,6899.00,,,,,
593,6899.00,,,,,
594,2022-04-04,,,,,
595,Ahumada,,,,,
596,"Loceryl 5 % x 2,5 mL Esmalte Laca Para U\u00f1as",,,,,
597,4045,,,,,
598,28345.00,,,,,
599,28345.00,,,,,
600,2022-04-04,,,,,
601,Ahumada,,,,,
602,Daivobet x 30 g Gel Topico,,,,,
603,79579,,,,,
604,59795.00,,,,,
605,59795.00,,,,,
606,2022-04-04,,,,,
607,Ahumada,,,,,
608,Daivobet x 30 g Gel Topico,,,,,
609,79579,,,,,
610,59795.00,,,,,
611,59795.00,,,,,
612,2022-04-04,,,,,
613,Ahumada,,,,,
614,Victoza 6 mg\/mL x 1 Dispositivo Prellenado Solucion Inyectable,,,,,
615,74783,,,,,
616,84595.00,,,,,
617,84595.00,,,,,
618,2022-04-04,,,,,
619,Ahumada,,,,,
620,Insulina Novorapid Flexpen 100 UI\/mL Solucion Inyectable x 5 Cartuchos 3 mL,,,,,
621,60651,,,,,
622,87395.00,,,,,
623,87395.00,,,,,
624,2022-04-04,,,,,
625,Ahumada,,,,,
626,Insulina Novorapid Flexpen 100 UI\/mL Solucion Inyectable x 5 Cartuchos 3 mL,,,,,
627,60651,,,,,
628,87395.00,,,,,
629,87395.00,,,,,
630,2022-04-04,,,,,
631,Ahumada,,,,,
632,Broncard 60 mg\/10 mL x 120 mL Jarabe,,,,,
633,28300,,,,,
634,14795.00,,,,,
635,14795.00,,,,,
636,2022-04-04,,,,,
637,Ahumada,,,,,
638,Broncard 60 mg\/10 mL x 120 mL Jarabe,,,,,
639,28300,,,,,
640,14795.00,,,,,
641,14795.00,,,,,
642,2022-04-04,,,,,
643,Ahumada,,,,,
644,YES! OHH YESS GEL LUBRICANTE 40ML.,,,,,
645,90030,,,,,
646,8095.00,,,,,
647,8095.00,,,,,
648,2022-04-04,,,,,
649,Ahumada,,,,,
650,YES! OHH YESS GEL LUBRICANTE 40ML.,,,,,
651,90030,,,,,
652,8095.00,,,,,
653,8095.00,,,,,
654,2022-04-04,,,,,
655,Ahumada,,,,,
656,YES! OHH YESS GEL LUBRICANTE 40ML.,,,,,
657,90030,,,,,
658,8095.00,,,,,
659,8095.00,,,,,
660,2022-04-04,,,,,
661,Ahumada,,,,,
662,Brintellix 20 mg x 28 Comprimidos Recubiertos,,,,,
663,83304,,,,,
664,73395.00,,,,,
665,73395.00,,,,,
666,2022-04-04,,,,,
667,Ahumada,,,,,
668,Brintellix 20 mg x 28 Comprimidos Recubiertos,,,,,
669,83304,,,,,
670,73395.00,,,,,
671,73395.00,,,,,
672,2022-04-04,,,,,
673,Ahumada,,,,,
674,JAB.INTIMO FEMINA LACTACYD PRO BIO 200ML,,,,,
675,81649,,,,,
676,4999.00,,,,,
677,4999.00,,,,,
678,2022-04-04,,,,,
679,Ahumada,,,,,
680,Vichy Serum Mineral 89 x 50 mL,,,,,
681,83549,,,,,
682,25099.00,,,,,
683,25099.00,,,,,
684,2022-04-04,,,,,
685,Ahumada,,,,,
686,Leukotape K Tape Neuromuscular Negro 5cm x 5m 1 Und.,,,,,
687,80969,,,,,
688,12695.00,,,,,
689,12695.00,,,,,
690,2022-04-04,,,,,
691,Ahumada,,,,,
692,Leukotape K Tape Neuromuscular Negro 5cm x 5m 1 Und.,,,,,
693,80969,,,,,
694,12695.00,,,,,
695,12695.00,,,,,
696,2022-04-04,,,,,
697,Ahumada,,,,,
698,Xalacom Col. Fco. 2.5 Ml.,,,,,
699,26538,,,,,
700,47795.00,,,,,
701,47795.00,,,,,
702,2022-04-04,,,,,
703,Ahumada,,,,,
704,Xalacom Col. Fco. 2.5 Ml.,,,,,
705,26538,,,,,
706,47795.00,,,,,
707,47795.00,,,,,
708,2022-04-04,,,,,
709,Ahumada,,,,,
710,Xalacom Col. Fco. 2.5 Ml.,,,,,
711,26538,,,,,
712,47795.00,,,,,
713,47795.00,,,,,
714,2022-04-04,,,,,
715,Ahumada,,,,,
716,Vichy Base Liftactiv Flexilift Teint Tono 45 x 30 mL,,,,,
717,68698001,,,,,
718,33299.00,,,,,
719,33299.00,,,,,
720,2022-04-04,,,,,
721,Ahumada,,,,,
722,Vichy Base Liftactiv Flexilift Teint Tono 45 x 30 mL,,,,,
723,68698001,,,,,
724,33299.00,,,,,
725,33299.00,,,,,
726,2022-04-04,,,,,
727,Ahumada,,,,,
728,Vichy Base Liftactiv Flexilift Teint Tono 45 x 30 mL,,,,,
729,68698001,,,,,
730,33299.00,,,,,
731,33299.00,,,,,
732,2022-04-04,,,,,
733,Ahumada,,,,,
734,Trioval Dia Y Noche X 20 Comprimidos Recubiertos,,,,,
735,14684,,,,,
736,7795.00,,,,,
737,7795.00,,,,,
738,2022-04-04,,,,,
739,Ahumada,,,,,
740,Trioval Dia Y Noche X 20 Comprimidos Recubiertos,,,,,
741,14684,,,,,
742,7795.00,,,,,
743,7795.00,,,,,
744,2022-04-04,,,,,
745,Ahumada,,,,,
746,Trioval Dia Y Noche X 20 Comprimidos Recubiertos,,,,,
747,14684,,,,,
748,7795.00,,,,,
749,7795.00,,,,,
750,2022-04-04,,,,,
751,Ahumada,,,,,
752,La Roche Posay Filtro Solar Anthelios Toque Seco Sin Color FPS 50 x 50 mL,,,,,
753,75601,,,,,
754,19499.00,,,,,
755,19499.00,,,,,
756,2022-04-04,,,,,
757,Ahumada,,,,,
758,Neostrata Skin Active Triple Firming Neck Cream x 80 g Crema Tonificante para Cuello,,,,,
759,84941,,,,,
760,55699.00,,,,,
761,55699.00,,,,,
762,2022-04-04,,,,,
763,Ahumada,,,,,
764,Neostrata Skin Active Triple Firming Neck Cream x 80 g Crema Tonificante para Cuello,,,,,
765,84941,,,,,
766,55699.00,,,,,
767,55699.00,,,,,
768,2022-04-04,,,,,
769,Ahumada,,,,,
770,UNG\u00dcENTO REPARADOR EUCERIN AQUAPHOR 50 ML,,,,,
771,68121,,,,,
772,10199.00,,,,,
773,10199.00,,,,,
774,2022-04-04,,,,,
775,Ahumada,,,,,
776,UNG\u00dcENTO REPARADOR EUCERIN AQUAPHOR 50 ML,,,,,
777,68121,,,,,
778,10199.00,,,,,
779,10199.00,,,,,
780,2022-04-04,,,,,
781,Ahumada,,,,,
782,CREMA CORPORAL EUCERIN pH5 450ML,,,,,
783,84790,,,,,
784,24599.00,,,,,
785,24599.00,,,,,
786,2022-04-04,,,,,
787,Ahumada,,,,,
788,Maybelline Esmalalte Colorama Brillo x 8 mL,,,,,
789,38750001,,,,,
790,1599.00,,,,,
791,1599.00,,,,,
792,2022-04-04,,,,,
793,Ahumada,,,,,
794,Maybelline Esmalalte Colorama Brillo x 8 mL,,,,,
795,38750001,,,,,
796,1599.00,,,,,
797,1599.00,,,,,
798,2022-04-04,,,,,
799,Ahumada,,,,,
800,Ensure Advance Vainilla x 850 g Polvo,,,,,
801,79437,,,,,
802,21195.00,,,,,
803,21195.00,,,,,
804,2022-04-04,,,,,
805,Ahumada,,,,,
806,Nutrex Lipo 6 UC Black x 60 C\u00e1psulas,,,,,
807,82627,,,,,
808,34995.00,,,,,
809,34995.00,,,,,
810,2022-04-04,,,,,
811,Ahumada,,,,,
812,Bi - O Pack Antitranspirante Spray Extreme Ice x 1 Pack,,,,,
813,87345,,,,,
814,4299.00,,,,,
815,4299.00,,,,,
816,2022-04-04,,,,,
817,Ahumada,,,,,
818,Bi-O Desodorante Roll On Masculino Extreme Ice x 50 mL,,,,,
819,72768,,,,,
820,3049.00,,,,,
821,3049.00,,,,,
822,2022-04-04,,,,,
823,Ahumada,,,,,
824,Cachantun Bebida Botella Sin Gas x 500 mL,,,,,
825,17487,,,,,
826,1149.00,,,,,
827,1149.00,,,,,
828,2022-04-04,,,,,
829,Ahumada,,,,,
830,Cachantun Bebida Botella Sin Gas x 500 mL,,,,,
831,17487,,,,,
832,1149.00,,,,,
833,1149.00,,,,,
834,2022-04-04,,,,,
835,Ahumada,,,,,
836,Tareg 80 mg x 56 Comprimidos Recubiertos,,,,,
837,49241,,,,,
838,72795.00,,,,,
839,72795.00,,,,,
840,2022-04-04,,,,,
841,Ahumada,,,,,
842,Tareg 80 mg x 56 Comprimidos Recubiertos,,,,,
843,49241,,,,,
844,72795.00,,,,,
845,72795.00,,,,,
846,2022-04-04,,,,,
847,Ahumada,,,,,
848,"Eliquis 2,5 mg x 60 Comprimidos Recubiertos",,,,,
849,87441,,,,,
850,85995.00,,,,,
851,85995.00,,,,,
852,2022-04-04,,,,,
853,Ahumada,,,,,
854,Exforge 5 mg\/160 mg x 56 Comprimidos Recubiertos,,,,,
855,50686,,,,,
856,82995.00,,,,,
857,82995.00,,,,,
858,2022-04-04,,,,,
859,Ahumada,,,,,
